Incident Date,Incident Time,Incident Year,Incident Day of Week,Incident ID,Incident Number,Incident Category,Incident Subcategory,Incident Description,Intersection,Police District,Analysis Neighborhood,Latitude,Longitude
12/19/24,8:19,2024,Thursday,1448550,240780303,Assault,Simple Assault,Battery,04TH ST \ KING ST,Southern,Mission Bay,37.77633286,-122.3940353
12/19/24,3:00,2024,Thursday,1448552,240780375,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, <$50",FRANKLIN ST \ PETER YORKE WAY \ POST ST,Northern,Western Addition,37.78640366,-122.4232101
12/19/24,3:30,2024,Thursday,1448553,240780397,Burglary,Burglary - Residential,"Burglary, Residence Under Constr, Forcible Entry",09TH AVE \ LAKE ST,Richmond,Inner Richmond,37.78653336,-122.4678955
12/19/24,4:45,2024,Thursday,1448554,240780347,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",LOUISBURG ST \ MARGARET AVE \ RIDGE LN,Taraval,Oceanview/Merced/Ingleside,37.71857834,-122.4515839
12/19/24,4:15,2024,Thursday,1448558,240780444,Larceny Theft,Larceny - Auto Parts,"Theft, Vehicle Strip, $200-$950",GREAT HWY \ KIRKHAM ST \ LA PLAYA,Taraval,Sunset/Parkside,37.75841522,-122.5091095
12/19/24,9:25,2024,Thursday,1448560,240780422,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",24TH ST \ SOUTH VAN NESS AVE,Mission,Mission,37.75237274,-122.4162674
12/19/24,9:25,2024,Thursday,1448560,240780422,Malicious Mischief,Vandalism,"Malicious Mischief, Street Cars/Buses",24TH ST \ SOUTH VAN NESS AVE,Mission,Mission,37.75237274,-122.4162674
12/19/24,8:20,2024,Thursday,1448568,240780400,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",16TH ST \ BRYANT ST,Mission,Mission,37.76560593,-122.4104843
12/19/24,10:06,2024,Thursday,1448575,240780513,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",19TH AVE \ IRVING ST,Taraval,Sunset/Parkside,37.76356125,-122.4771729
12/19/24,3:00,2024,Thursday,1448578,240780585,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",PLEASANT ST \ TAYLOR ST,Central,Nob Hill,37.79299164,-122.4127426
12/19/24,5:30,2024,Thursday,1448579,240780660,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",03RD AVE \ IRVING ST,Park,Inner Sunset,37.76432037,-122.4598846
12/19/24,20:17,2024,Thursday,1448711,240781680,Assault,Simple Assault,"Assault, Non-Aggravated",BUSH ST \ POWELL ST,Central,Nob Hill,37.79016113,-122.408783
12/5/24,13:00,2024,Thursday,1446250,246157823,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",CENTRAL AVE \ FULTON ST,Park,Lone Mountain/USF,37.77601624,-122.4447784
11/28/24,0:00,2024,Thursday,1446255,246157726,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",FREDERICK ST \ SHRADER ST,Park,Haight Ashbury,37.76659012,-122.4512939
12/5/24,9:00,2024,Thursday,1446258,246157403,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",FRANKLIN ST \ WILLOW ST,Northern,Western Addition,37.78314972,-122.4225616
11/21/24,20:50,2024,Thursday,1446270,246157920,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",OFARRELL ST \ POWELL ST,Central,Tenderloin,37.78641129,-122.4080353
11/28/24,14:00,2024,Thursday,1446305,246154807,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Other Vehicle",04TH ST \ CLARA ST,Southern,South of Market,37.78121567,-122.4001465
8/1/24,12:00,2024,Thursday,1446327,240761955,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",LEAVENWORTH ST \ OFARRELL ST,Tenderloin,Tenderloin,37.7855835,-122.4146194
4/18/24,13:08,2024,Thursday,1446328,240243301,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",MORSE ST \ WHIPPLE ST,Ingleside,Excelsior,37.7105751,-122.4474945
4/18/24,13:08,2024,Thursday,1446328,240243301,Assault,Simple Assault,Battery,MORSE ST \ WHIPPLE ST,Ingleside,Excelsior,37.7105751,-122.4474945
4/18/24,13:08,2024,Thursday,1446328,240243301,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",MORSE ST \ WHIPPLE ST,Ingleside,Excelsior,37.7105751,-122.4474945
12/5/24,17:15,2024,Thursday,1446354,240753253,Assault,Simple Assault,Battery,FULTON ST \ HYDE ST \ UNITED NATIONS PLZ,Tenderloin,Tenderloin,37.77978897,-122.4151306
12/5/24,10:00,2024,Thursday,1446393,246157378,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",BAKER ST \ FRANCISCO ST,Northern,Marina,37.80048752,-122.4463501
11/21/24,21:00,2024,Thursday,1446399,246157895,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",NORTH POINT ST \ STOCKTON ST,Central,North Beach,37.80696106,-122.4104996
11/21/24,13:00,2024,Thursday,1446401,246158172,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",GRANT AVE \ NOBLES ALY,Central,North Beach,37.80094147,-122.4076462
11/21/24,22:00,2024,Thursday,1446427,246157908,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",BUSH ST \ MASON ST,Central,Nob Hill,37.78995132,-122.4104309
11/7/24,15:30,2024,Thursday,1446429,246157992,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",FRONT ST \ GREEN ST,Central,Financial District/South Beach,37.80060577,-122.4002533
11/21/24,1:00,2024,Thursday,1446431,240725365,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",BROADWAY \ KEARNY ST,Central,North Beach,37.79801559,-122.4054718
8/1/24,10:00,2024,Thursday,1446442,240762668,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $50-$200",CORBETT AVE \ DANVERS ST,Park,Castro/Upper Market,37.76128006,-122.4440079
9/26/24,23:20,2024,Thursday,1446495,240607519,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",07TH ST \ 16TH ST \ MISSISSIPPI ST,Southern,Mission Bay,37.76654434,-122.3950577
12/5/24,10:00,2024,Thursday,1446510,240763412,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",GREEN ST \ LYON ST,Northern,Marina,37.79470825,-122.4467316
10/31/24,21:00,2024,Thursday,1446596,246158376,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",FILLMORE ST \ PIXLEY ST,Northern,Marina,37.79848862,-122.4357758
12/5/24,12:59,2024,Thursday,1446651,240695081,Assault,Simple Assault,Battery,BUCHANAN ST \ LAUSSAT ST,Northern,Hayes Valley,37.77206039,-122.427063
11/21/24,21:00,2024,Thursday,1446671,240764692,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",PACHECO ST \ VASQUEZ AVE,Ingleside,West of Twin Peaks,37.74456787,-122.4601135
12/5/24,0:01,2024,Thursday,1446690,240764868,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",DIVISADERO ST \ HAIGHT ST,Park,Haight Ashbury,37.77126694,-122.4370422
12/5/24,0:00,2024,Thursday,1446720,246158257,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",BUCHANAN ST \ WASHINGTON ST,Northern,Pacific Heights,37.79200745,-122.4310913
11/14/24,16:54,2024,Thursday,1446722,246158677,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",09TH ST \ BRANNAN ST,Southern,South of Market,37.77005005,-122.4069977
11/28/24,0:00,2024,Thursday,1446728,246158326,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",FILBERT ST \ PIERCE ST,Northern,Marina,37.79760361,-122.4389648
11/21/24,16:21,2024,Thursday,1446772,240764971,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",DUBOCE AVE \ STEVENSON ST,Southern,Mission,37.76991653,-122.4215851
12/12/24,1:34,2024,Thursday,1446857,240766121,Assault,Aggravated Assault,"Assault, Aggravated, W/ Knife",GEARY ST \ JONES ST,Central,Tenderloin,37.78672791,-122.4131622
12/12/24,2:31,2024,Thursday,1446860,240766159,Burglary,Burglary - Other,"Burglary, Other Bldg., Forcible Entry",16TH ST \ DEHON ST,Mission,Castro/Upper Market,37.76441956,-122.4301147
12/12/24,2:47,2024,Thursday,1446861,240766143,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",BRYANT ST \ HARRIET ST,Southern,South of Market,37.77560425,-122.4030762
12/5/24,15:45,2024,Thursday,1446873,246158940,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",BAKER ST \ FILBERT ST,Northern,Marina,37.79676056,-122.4455948
12/12/24,4:00,2024,Thursday,1446890,240766290,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",DUBLIN ST \ RUSSIA AVE,Ingleside,Excelsior,37.71699905,-122.4275742
12/12/24,6:30,2024,Thursday,1446894,240766347,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",FALMOUTH ST \ SHIPLEY ST,Southern,South of Market,37.77900314,-122.4038849
12/12/24,8:45,2024,Thursday,1446908,240766494,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",06TH ST \ MISSION ST,Tenderloin,South of Market,37.78097153,-122.4087067
12/12/24,9:50,2024,Thursday,1446910,240766563,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen, Auto",LAGUNA ST \ MARINA BLVD,Northern,Marina,37.80519867,-122.4320908
12/12/24,9:00,2024,Thursday,1446915,240766438,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",14TH ST \ SHOTWELL ST,Mission,Mission,37.76847076,-122.4167099
12/12/24,9:00,2024,Thursday,1446919,240766422,Motor Vehicle Theft,Motor Vehicle Theft,"Vehicle, Stolen & Recovered",10TH ST \ SHERIDAN ST,Southern,South of Market,37.77207184,-122.4118958
12/12/24,11:26,2024,Thursday,1446922,240766159,Burglary,Burglary - Other,"Burglary, Non-residential, Forcible Entry",16TH ST \ DEHON ST,Mission,Castro/Upper Market,37.76441956,-122.4301147
12/12/24,10:54,2024,Thursday,1446925,240766660,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",20TH ST \ CONNECTICUT ST,Bayview,Potrero Hill,37.7599678,-122.3972473
